first_name,middle_name,last_name,county,address_1,address_2,city,state,zip_code,zip_plus_four
DANIELLE,,BARBARA,MULTNOMAH,1631 NE BROADWAY PMB 437,,PORTLAND,OR,97232,1425
SUSAN,,JONATHAN,MULTNOMAH,PO BOX 12041,,PORTLAND,OR,97212,0041
ALEXANDER,,TRAVIS,MULTNOMAH,31 NW 22ND PL 29,,PORTLAND,OR,97210,
JUSTIN,,DIANE,MULTNOMAH,2235 W BURNSIDE ST 306,,PORTLAND,OR,97210,3521
SHARA,,THOMAS,MULTNOMAH,777 NW 19TH AVE A407,,PORTLAND,OR,97209,1390
HELEN,,BRANDON,MULTNOMAH,818 SW 3RD AVE PMB 76,,PORTLAND,OR,97204,
RAY,,MICHAEL,MULTNOMAH,1111 SW 2ND AVE RM 1526,,PORTLAND,OR,97204,
MARSHALL,,DENNIS,MULTNOMAH,PO BOX 29035,,PORTLAND,OR,97229,
MAUREEN,,LARRY,MULTNOMAH,2445 NW WESTOVER RD 403,,PORTLAND,OR,97210,
MARLIN,,MOISES,MULTNOMAH,25 NW 23RD PL  STE 6 PMB 265,,PORTLAND,OR,97210,
GARY,,IRIS,MULTNOMAH,818 SW 3RD AVE PMB 55,,PORTLAND,OR,97204,
MICHAEL,,STEPHANIE,MULTNOMAH,838 SW 1ST AVE APT 300,,PORTLAND,OR,97204,3322
RYAN,,AMY,MULTNOMAH,2260 NW EVERETT ST 7,,PORTLAND,OR,97210,
DELFINO,,ELIZABETH,MULTNOMAH,2365 NW IRVING ST 8,,PORTLAND,OR,97210,
BARBARA,,KURT,MULTNOMAH,25 NW 23RD PLACE ,SUITE 6 PMB 436,PORTLAND,OR,97210,
DEBBIE,,DANIEL,MULTNOMAH,1024 SE MORRISON,,PORTLAND,OR,97214,
LYNDELLE,,KITTY,MULTNOMAH,2041 NW EVERETT ST 609,,PORTLAND,OR,97209,
EDWIN,,ROSALIND,MULTNOMAH,31 NW 22ND PL 21,,PORTLAND,OR,97210,
DAVID,,DAVID,MULTNOMAH,1912 SW 6TH AVENUE 1118,,PORTLAND,OR,97201,
JUDY,,ADRIEL,MULTNOMAH,627 NW 18TH AVE BLDG 627,,PORTLAND,OR,97209,
BRIAN,,RICHARD,MULTNOMAH,808 NW 19TH AVE B307,,PORTLAND,OR,97209,1476
